Problem 2.3

Time (s)	Velocity with Water Drag
0		10
0.001		9.79381
0.002		9.59603
0.003		9.40617
0.004		9.22375
0.005		9.04833
0.006		8.87953
0.007		8.71698
0.008		8.56032
0.009		8.40925
0.01		8.26346
0.011		8.12269
0.012		7.98668
0.013		7.85519
0.014		7.728
0.015		7.60489
0.016		7.48568
0.017		7.37019
0.018		7.25823
0.019		7.14965
0.02		7.0443
0.021		6.94203
0.022		6.84272
0.023		6.74622
0.024		6.65244
0.025		6.56125
0.026		6.47254
0.027		6.38622
0.028		6.30219
0.029		6.22036
0.03		6.14065
0.031		6.06297
0.032		5.98724
0.033		5.9134
0.034		5.84137
0.035		5.77109
0.036		5.7025
0.037		5.63553
0.038		5.57012
0.039		5.50623
0.04		5.4438
0.041		5.38278
0.042		5.32312
0.043		5.26479
0.044		5.20772
0.045		5.15189
0.046		5.09726
0.047		5.04378
0.048		4.99142
0.049		4.94015
0.05		4.88993
0.051		4.84072
0.052		4.79251
0.053		4.74525
0.054		4.69893
0.055		4.65351
0.056		4.60896
0.057		4.56527
0.058		4.52241
0.059		4.48035
0.06		4.43907
0.061		4.39855
0.062		4.35878
0.063		4.31972
0.064		4.28136
0.065		4.24368
0.066		4.20667
0.067		4.17031
0.068		4.13457
0.069		4.09945
0.07		4.06492
0.071		4.03098
0.072		3.9976
0.073		3.96478
0.074		3.9325
0.075		3.90075
0.076		3.86951
0.077		3.83877
0.078		3.80852
0.079		3.77875
0.08		3.74945
0.081		3.7206
0.082		3.6922
0.083		3.66423
0.084		3.63669
0.085		3.60957
0.086		3.58285
0.087		3.55653
0.088		3.5306
0.089		3.50505
0.09		3.47987
0.091		3.45505
0.092		3.43059
0.093		3.40648
0.094		3.38271
0.095		3.35927
0.096		3.33616
0.097		3.31338
0.098		3.2909
0.099		3.26873
0.1		3.24687
0.101		3.22529
0.102		3.20401
0.103		3.18301
0.104		3.16229
0.105		3.14184
0.106		3.12166
0.107		3.10174
0.108		3.08208
0.109		3.06266
0.11		3.0435
0.111		3.02458
0.112		3.00589
0.113		2.98744
0.114		2.96922
0.115		2.95123
0.116		2.93345
0.117		2.91589
0.118		2.89855
0.119		2.88141
0.12		2.86448
0.121		2.84775
0.122		2.83122
0.123		2.81488
0.124		2.79874
0.125		2.78278
0.126		2.76701
0.127		2.75142
0.128		2.73601
0.129		2.72077
0.13		2.70571
0.131		2.69082
0.132		2.67609
0.133		2.66153
0.134		2.64713
0.135		2.63288
0.136		2.6188
0.137		2.60486
0.138		2.59108
0.139		2.57745
0.14		2.56397
0.141		2.55062
0.142		2.53742
0.143		2.52436
0.144		2.51144
0.145		2.49865
0.146		2.486
0.147		2.47348
0.148		2.46108
0.149		2.44882
0.15		2.43668
0.151		2.42466
0.152		2.41276
0.153		2.40099
0.154		2.38933
0.155		2.37779
0.156		2.36636
0.157		2.35504
0.158		2.34384
0.159		2.33275
0.16		2.32176
0.161		2.31089
0.162		2.30011
0.163		2.28944
0.164		2.27887
0.165		2.26841
0.166		2.25804
