Problem 2.3

Time (s)	Velocity With Air Drag
0		10
0.01		10.003
0.02		10.0061
0.03		10.0091
0.04		10.0121
0.05		10.0151
0.06		10.0182
0.07		10.0212
0.08		10.0242
0.09		10.0272
0.1		10.0302
0.11		10.0332
0.12		10.0362
0.13		10.0392
0.14		10.0422
0.15		10.0452
0.16		10.0482
0.17		10.0512
0.18		10.0542
0.19		10.0571
0.2		10.0601
0.21		10.0631
0.22		10.0661
0.23		10.069
0.24		10.072
0.25		10.0749
0.26		10.0779
0.27		10.0809
0.28		10.0838
0.29		10.0867
0.3		10.0897
0.31		10.0926
0.32		10.0956
0.33		10.0985
0.34		10.1014
0.35		10.1044
0.36		10.1073
0.37		10.1102
0.38		10.1131
0.39		10.116
0.4		10.119
0.41		10.1219
0.42		10.1248
0.43		10.1277
0.44		10.1306
0.45		10.1335
0.46		10.1364
0.47		10.1393
0.48		10.1422
0.49		10.145
0.5		10.1479
0.51		10.1508
0.52		10.1537
0.53		10.1566
0.54		10.1594
0.55		10.1623
0.56		10.1652
0.57		10.168
0.58		10.1709
0.59		10.1737
0.6		10.1766
0.61		10.1794
0.62		10.1823
0.63		10.1851
0.64		10.188
0.65		10.1908
0.66		10.1936
0.67		10.1965
0.68		10.1993
0.69		10.2021
0.7		10.2049
0.71		10.2078
0.72		10.2106
0.73		10.2134
0.74		10.2162
0.75		10.219
0.76		10.2218
0.77		10.2246
0.78		10.2274
0.79		10.2302
0.8		10.233
0.81		10.2358
0.82		10.2386
0.83		10.2414
0.84		10.2442
0.85		10.2469
0.86		10.2497
0.87		10.2525
0.88		10.2552
0.89		10.258
0.9		10.2608
0.91		10.2635
0.92		10.2663
0.93		10.2691
0.94		10.2718
0.95		10.2746
0.96		10.2773
0.97		10.28
0.98		10.2828
0.99		10.2855
1		10.2883
1.01		10.291
1.02		10.2937
1.03		10.2964
1.04		10.2992
1.05		10.3019
1.06		10.3046
1.07		10.3073
1.08		10.31
1.09		10.3127
1.1		10.3155
1.11		10.3182
1.12		10.3209
1.13		10.3236
1.14		10.3263
1.15		10.3289
1.16		10.3316
1.17		10.3343
1.18		10.337
1.19		10.3397
1.2		10.3424
1.21		10.345
1.22		10.3477
1.23		10.3504
1.24		10.3531
1.25		10.3557
1.26		10.3584
1.27		10.361
1.28		10.3637
1.29		10.3663
