Time	Population
0	30
0.01	33
0.02	36.3
0.03	39.93
0.04	43.923
0.05	48.3153
0.06	53.1468
0.07	58.4615
0.08	64.3077
0.09	70.7384
0.1	77.8123
0.11	85.5935
0.12	94.1529
0.13	103.568
0.14	113.925
0.15	125.317
0.16	137.849
0.17	151.634
0.18	166.798
0.19	183.477
0.2	201.825
0.21	222.007
0.22	244.208
0.23	268.629
0.24	295.492
0.25	325.041
0.26	357.545
0.27	393.3
0.28	432.63
0.29	475.893
0.3	523.482
0.31	575.83
0.32	633.413
0.33	696.755
0.34	766.43
0.35	843.073
0.36	927.38
0.37	1020.12
0.38	1122.13
0.39	1234.34
0.4	1357.78
0.41	1493.56
0.42	1642.91
0.43	1807.2
0.44	1987.92
0.45	2186.71
0.46	2405.39
0.47	2645.92
0.48	2910.52
0.49	3201.57
0.5	3521.73
0.51	3873.9
0.52	4261.29
0.53	4687.42
0.54	5156.16
0.55	5671.77
0.56	6238.95
0.57	6862.85
0.58	7549.13
0.59	8304.04
0.6	9134.45
0.61	10047.9
0.62	11052.7
0.63	12158
0.64	13373.7
0.65	14711.1
0.66	16182.2
0.67	17800.5
0.68	19580.5
0.69	21538.6
0.7	23692.4
0.71	26061.6
0.72	28667.8
0.73	31534.6
0.74	34688.1
0.75	38156.9
0.76	41972.5
0.77	46169.8
0.78	50786.8
0.79	55865.5
0.8	61452
0.81	67597.2
0.82	74356.9
0.83	81792.6
0.84	89971.9
0.85	98969.1
0.86	108866
0.87	119753
0.88	131728
0.89	144901
0.9	159391
0.91	175330
0.92	192863
0.93	212149
0.94	233364
0.95	256700
0.96	282370
0.97	310607
0.98	341668
0.99	375835
1	413418
1.01	454760
1.02	500236
1.03	550260
1.04	605286
1.05	665814
1.06	732396
1.07	805635
1.08	886199
1.09	974819
1.1	1.0723e+006
1.11	1.17953e+006
1.12	1.29748e+006
1.13	1.42723e+006
1.14	1.56996e+006
1.15	1.72695e+006
1.16	1.89965e+006
1.17	2.08961e+006
1.18	2.29857e+006
1.19	2.52843e+006
1.2	2.78127e+006
1.21	3.0594e+006
1.22	3.36534e+006
1.23	3.70187e+006
1.24	4.07206e+006
1.25	4.47927e+006
1.26	4.92719e+006
1.27	5.41991e+006
1.28	5.9619e+006
1.29	6.55809e+006
1.3	7.2139e+006
1.31	7.93529e+006
1.32	8.72882e+006
1.33	9.60171e+006
1.34	1.05619e+007
1.35	1.16181e+007
1.36	1.27799e+007
1.37	1.40579e+007
1.38	1.54636e+007
1.39	1.701e+007
1.4	1.8711e+007
1.41	2.05821e+007
1.42	2.26403e+007
1.43	2.49044e+007
1.44	2.73948e+007
1.45	3.01343e+007
1.46	3.31477e+007
1.47	3.64625e+007
1.48	4.01087e+007
1.49	4.41196e+007
1.5	4.85315e+007
1.51	5.33847e+007
1.52	5.87232e+007
1.53	6.45955e+007
1.54	7.1055e+007
1.55	7.81605e+007
1.56	8.59766e+007
1.57	9.45742e+007
1.58	1.04032e+008
1.59	1.14435e+008
1.6	1.25878e+008
1.61	1.38466e+008
1.62	1.52313e+008
1.63	1.67544e+008
1.64	1.84298e+008
1.65	2.02728e+008
1.66	2.23001e+008
1.67	2.45301e+008
1.68	2.69831e+008
1.69	2.96814e+008
1.7	3.26496e+008
1.71	3.59145e+008
1.72	3.9506e+008
1.73	4.34566e+008
1.74	4.78023e+008
1.75	5.25825e+008
1.76	5.78407e+008
1.77	6.36248e+008
1.78	6.99873e+008
1.79	7.6986e+008
1.8	8.46846e+008
1.81	9.31531e+008
1.82	1.02468e+009
1.83	1.12715e+009
1.84	1.23987e+009
1.85	1.36385e+009
1.86	1.50024e+009
1.87	1.65026e+009
1.88	1.81529e+009
1.89	1.99682e+009
1.9	2.1965e+009
1.91	2.41615e+009
1.92	2.65777e+009
1.93	2.92354e+009
1.94	3.2159e+009
1.95	3.53749e+009
1.96	3.89124e+009
1.97	4.28036e+009
1.98	4.7084e+009
1.99	5.17923e+009
2	5.69716e+009
2.01	6.26687e+009
2.02	6.89356e+009
2.03	7.58292e+009
2.04	8.34121e+009
2.05	9.17533e+009
2.06	1.00929e+010
2.07	1.11021e+010
2.08	1.22124e+010
2.09	1.34336e+010
2.1	1.4777e+010
2.11	1.62547e+010
2.12	1.78801e+010
2.13	1.96681e+010
2.14	2.16349e+010
2.15	2.37984e+010
2.16	2.61783e+010
2.17	2.87961e+010
2.18	3.16757e+010
2.19	3.48433e+010
2.2	3.83276e+010
2.21	4.21604e+010
2.22	4.63764e+010
2.23	5.10141e+010
2.24	5.61155e+010
2.25	6.1727e+010
2.26	6.78997e+010
2.27	7.46897e+010
