Time	Population
0	30
0.01	32.1
0.02	34.2796
0.03	36.5325
0.04	38.8511
0.05	41.2268
0.06	43.6498
0.07	46.1095
0.08	48.5944
0.09	51.0924
0.1	53.5912
0.11	56.0783
0.12	58.5413
0.13	60.9684
0.14	63.3481
0.15	65.6699
0.16	67.9244
0.17	70.1031
0.18	72.1989
0.19	74.2062
0.2	76.1202
0.21	77.938
0.22	79.6574
0.23	81.2779
0.24	82.7996
0.25	84.2237
0.26	85.5525
0.27	86.7885
0.28	87.9351
0.29	88.996
0.3	89.9753
0.31	90.8773
0.32	91.7064
0.33	92.4669
0.34	93.1635
0.35	93.8004
0.36	94.3819
0.37	94.9122
0.38	95.3951
0.39	95.8344
0.4	96.2336
0.41	96.596
0.42	96.9248
0.43	97.2229
0.44	97.4929
0.45	97.7373
0.46	97.9585
0.47	98.1585
0.48	98.3392
0.49	98.5025
0.5	98.65
0.51	98.7832
0.52	98.9034
0.53	99.0119
0.54	99.1097
0.55	99.1979
0.56	99.2775
0.57	99.3492
0.58	99.4139
0.59	99.4722
0.6	99.5247
0.61	99.572
0.62	99.6146
0.63	99.653
0.64	99.6876
0.65	99.7187
0.66	99.7468
0.67	99.772
0.68	99.7948
0.69	99.8152
0.7	99.8337
0.71	99.8503
0.72	99.8652
0.73	99.8787
0.74	99.8908
0.75	99.9017
0.76	99.9115
0.77	99.9204
0.78	99.9283
0.79	99.9355
0.8	99.9419
0.81	99.9477
0.82	99.953
0.83	99.9577
0.84	99.9619
0.85	99.9657
0.86	99.9691
0.87	99.9722
0.88	99.975
0.89	99.9775
0.9	99.9797
0.91	99.9818
0.92	99.9836
0.93	99.9852
0.94	99.9867
0.95	99.988
0.96	99.9892
0.97	99.9903
0.98	99.9913
0.99	99.9922
1	99.9929
1.01	99.9936
1.02	99.9943
1.03	99.9949
1.04	99.9954
1.05	99.9958
1.06	99.9962
1.07	99.9966
1.08	99.997
1.09	99.9973
1.1	99.9975
1.11	99.9978
1.12	99.998
1.13	99.9982
1.14	99.9984
1.15	99.9985
1.16	99.9987
1.17	99.9988
1.18	99.9989
1.19	99.999
1.2	99.9991
1.21	99.9992
1.22	99.9993
1.23	99.9994
1.24	99.9994
1.25	99.9995
1.26	99.9995
1.27	99.9996
1.28	99.9996
1.29	99.9997
1.3	99.9997
1.31	99.9997
1.32	99.9998
1.33	99.9998
1.34	99.9998
1.35	99.9998
1.36	99.9998
1.37	99.9999
1.38	99.9999
1.39	99.9999
1.4	99.9999
1.41	99.9999
1.42	99.9999
1.43	99.9999
1.44	99.9999
1.45	99.9999
1.46	99.9999
1.47	100
1.48	100
1.49	100
1.5	100
1.51	100
1.52	100
1.53	100
1.54	100
1.55	100
1.56	100
1.57	100
1.58	100
1.59	100
1.6	100
1.61	100
1.62	100
1.63	100
1.64	100
1.65	100
1.66	100
1.67	100
1.68	100
1.69	100
1.7	100
1.71	100
1.72	100
1.73	100
1.74	100
1.75	100
1.76	100
1.77	100
1.78	100
1.79	100
1.8	100
1.81	100
1.82	100
1.83	100
1.84	100
1.85	100
1.86	100
1.87	100
1.88	100
1.89	100
1.9	100
1.91	100
1.92	100
1.93	100
1.94	100
1.95	100
1.96	100
1.97	100
1.98	100
1.99	100
2	100
2.01	100
2.02	100
2.03	100
2.04	100
2.05	100
2.06	100
2.07	100
2.08	100
2.09	100
2.1	100
2.11	100
2.12	100
2.13	100
2.14	100
2.15	100
2.16	100
2.17	100
2.18	100
2.19	100
2.2	100
2.21	100
2.22	100
2.23	100
2.24	100
2.25	100
2.26	100
2.27	100
2.28	100
2.29	100
2.3	100
2.31	100
2.32	100
2.33	100
2.34	100
2.35	100
2.36	100
2.37	100
2.38	100
2.39	100
2.4	100
2.41	100
2.42	100
2.43	100
2.44	100
2.45	100
2.46	100
2.47	100
2.48	100
2.49	100
2.5	100
2.51	100
2.52	100
2.53	100
2.54	100
2.55	100
2.56	100
2.57	100
2.58	100
2.59	100
2.6	100
2.61	100
2.62	100
2.63	100
2.64	100
2.65	100
2.66	100
2.67	100
2.68	100
2.69	100
2.7	100
2.71	100
2.72	100
2.73	100
2.74	100
2.75	100
2.76	100
2.77	100
2.78	100
2.79	100
2.8	100
2.81	100
2.82	100
2.83	100
2.84	100
2.85	100
2.86	100
2.87	100
2.88	100
2.89	100
2.9	100
2.91	100
2.92	100
2.93	100
2.94	100
2.95	100
2.96	100
2.97	100
2.98	100
2.99	100
3	100
3.01	100
3.02	100
3.03	100
3.04	100
3.05	100
3.06	100
3.07	100
3.08	100
3.09	100
3.1	100
3.11	100
3.12	100
3.13	100
3.14	100
3.15	100
3.16	100
3.17	100
3.18	100
3.19	100
3.2	100
3.21	100
3.22	100
3.23	100
3.24	100
3.25	100
3.26	100
3.27	100
3.28	100
3.29	100
3.3	100
3.31	100
3.32	100
3.33	100
3.34	100
3.35	100
3.36	100
3.37	100
3.38	100
3.39	100
3.4	100
3.41	100
3.42	100
3.43	100
3.44	100
3.45	100
3.46	100
3.47	100
3.48	100
3.49	100
3.5	100
3.51	100
3.52	100
3.53	100
3.54	100
3.55	100
3.56	100
3.57	100
3.58	100
3.59	100
3.6	100
3.61	100
3.62	100
3.63	100
3.64	100
3.65	100
3.66	100
3.67	100
3.68	100
3.69	100
3.7	100
3.71	100
3.72	100
3.73	100
3.74	100
3.75	100
3.76	100
3.77	100
3.78	100
3.79	100
3.8	100
3.81	100
3.82	100
3.83	100
3.84	100
3.85	100
3.86	100
3.87	100
3.88	100
3.89	100
3.9	100
3.91	100
3.92	100
3.93	100
3.94	100
3.95	100
3.96	100
3.97	100
3.98	100
3.99	100
4	100
4.01	100
4.02	100
4.03	100
4.04	100
4.05	100
4.06	100
4.07	100
4.08	100
4.09	100
4.1	100
4.11	100
4.12	100
4.13	100
4.14	100
4.15	100
4.16	100
4.17	100
4.18	100
4.19	100
4.2	100
4.21	100
4.22	100
4.23	100
4.24	100
4.25	100
4.26	100
4.27	100
4.28	100
4.29	100
4.3	100
4.31	100
4.32	100
4.33	100
4.34	100
4.35	100
4.36	100
4.37	100
4.38	100
4.39	100
4.4	100
4.41	100
4.42	100
4.43	100
4.44	100
4.45	100
4.46	100
4.47	100
4.48	100
4.49	100
4.5	100
4.51	100
4.52	100
4.53	100
4.54	100
4.55	100
4.56	100
4.57	100
4.58	100
4.59	100
