Time	Population
0	30
0.01	28.0705
0.02	26.7028
0.03	25.6885
0.04	24.9127
0.05	24.3062
0.06	23.8241
0.07	23.4362
0.08	23.1208
0.09	22.8624
0.1	22.6494
0.11	22.473
0.12	22.3261
0.13	22.2035
0.14	22.1008
0.15	22.0146
0.16	21.9422
0.17	21.8811
0.18	21.8296
0.19	21.7861
0.2	21.7493
0.21	21.7182
0.22	21.6919
0.23	21.6696
0.24	21.6506
0.25	21.6346
0.26	21.621
0.27	21.6094
0.28	21.5996
0.29	21.5913
0.3	21.5843
0.31	21.5783
0.32	21.5732
0.33	21.5688
0.34	21.5652
0.35	21.562
0.36	21.5594
0.37	21.5571
0.38	21.5552
0.39	21.5536
0.4	21.5522
0.41	21.551
0.42	21.55
0.43	21.5492
0.44	21.5484
0.45	21.5478
0.46	21.5473
0.47	21.5469
0.48	21.5465
0.49	21.5462
0.5	21.5459
0.51	21.5457
0.52	21.5455
0.53	21.5453
0.54	21.5452
0.55	21.545
0.56	21.5449
0.57	21.5448
0.58	21.5448
0.59	21.5447
0.6	21.5447
0.61	21.5446
0.62	21.5446
0.63	21.5445
0.64	21.5445
0.65	21.5445
0.66	21.5445
0.67	21.5444
0.68	21.5444
0.69	21.5444
0.7	21.5444
0.71	21.5444
0.72	21.5444
0.73	21.5444
0.74	21.5444
0.75	21.5444
0.76	21.5444
0.77	21.5444
0.78	21.5444
0.79	21.5444
0.8	21.5444
0.81	21.5444
0.82	21.5444
0.83	21.5444
0.84	21.5444
0.85	21.5444
0.86	21.5444
0.87	21.5444
0.88	21.5444
0.89	21.5443
0.9	21.5443
0.91	21.5443
0.92	21.5443
0.93	21.5443
0.94	21.5443
0.95	21.5443
0.96	21.5443
0.97	21.5443
0.98	21.5443
0.99	21.5443
1	21.5443
1.01	21.5443
1.02	21.5443
1.03	21.5443
1.04	21.5443
1.05	21.5443
1.06	21.5443
1.07	21.5443
1.08	21.5443
1.09	21.5443
1.1	21.5443
1.11	21.5443
1.12	21.5443
1.13	21.5443
1.14	21.5443
1.15	21.5443
1.16	21.5443
1.17	21.5443
1.18	21.5443
1.19	21.5443
1.2	21.5443
1.21	21.5443
1.22	21.5443
1.23	21.5443
1.24	21.5443
1.25	21.5443
1.26	21.5443
1.27	21.5443
1.28	21.5443
1.29	21.5443
1.3	21.5443
1.31	21.5443
1.32	21.5443
1.33	21.5443
1.34	21.5443
1.35	21.5443
1.36	21.5443
1.37	21.5443
1.38	21.5443
1.39	21.5443
1.4	21.5443
1.41	21.5443
1.42	21.5443
1.43	21.5443
1.44	21.5443
1.45	21.5443
1.46	21.5443
1.47	21.5443
1.48	21.5443
1.49	21.5443
1.5	21.5443
1.51	21.5443
1.52	21.5443
1.53	21.5443
1.54	21.5443
1.55	21.5443
1.56	21.5443
1.57	21.5443
1.58	21.5443
1.59	21.5443
1.6	21.5443
1.61	21.5443
1.62	21.5443
1.63	21.5443
1.64	21.5443
1.65	21.5443
1.66	21.5443
1.67	21.5443
1.68	21.5443
1.69	21.5443
1.7	21.5443
1.71	21.5443
1.72	21.5443
1.73	21.5443
1.74	21.5443
1.75	21.5443
1.76	21.5443
1.77	21.5443
1.78	21.5443
1.79	21.5443
1.8	21.5443
1.81	21.5443
1.82	21.5443
1.83	21.5443
1.84	21.5443
1.85	21.5443
1.86	21.5443
1.87	21.5443
1.88	21.5443
1.89	21.5443
1.9	21.5443
1.91	21.5443
1.92	21.5443
1.93	21.5443
1.94	21.5443
1.95	21.5443
1.96	21.5443
1.97	21.5443
1.98	21.5443
1.99	21.5443
2	21.5443
2.01	21.5443
2.02	21.5443
2.03	21.5443
2.04	21.5443
2.05	21.5443
2.06	21.5443
2.07	21.5443
2.08	21.5443
2.09	21.5443
2.1	21.5443
2.11	21.5443
2.12	21.5443
2.13	21.5443
2.14	21.5443
2.15	21.5443
2.16	21.5443
2.17	21.5443
2.18	21.5443
2.19	21.5443
2.2	21.5443
2.21	21.5443
2.22	21.5443
2.23	21.5443
2.24	21.5443
2.25	21.5443
2.26	21.5443
2.27	21.5443
2.28	21.5443
2.29	21.5443
2.3	21.5443
2.31	21.5443
2.32	21.5443
2.33	21.5443
2.34	21.5443
2.35	21.5443
2.36	21.5443
2.37	21.5443
2.38	21.5443
2.39	21.5443
2.4	21.5443
2.41	21.5443
2.42	21.5443
2.43	21.5443
2.44	21.5443
2.45	21.5443
2.46	21.5443
2.47	21.5443
2.48	21.5443
2.49	21.5443
2.5	21.5443
2.51	21.5443
2.52	21.5443
2.53	21.5443
2.54	21.5443
2.55	21.5443
2.56	21.5443
2.57	21.5443
2.58	21.5443
2.59	21.5443
2.6	21.5443
2.61	21.5443
2.62	21.5443
2.63	21.5443
2.64	21.5443
2.65	21.5443
2.66	21.5443
2.67	21.5443
2.68	21.5443
2.69	21.5443
2.7	21.5443
2.71	21.5443
2.72	21.5443
2.73	21.5443
2.74	21.5443
2.75	21.5443
2.76	21.5443
2.77	21.5443
2.78	21.5443
2.79	21.5443
2.8	21.5443
2.81	21.5443
2.82	21.5443
2.83	21.5443
2.84	21.5443
2.85	21.5443
2.86	21.5443
2.87	21.5443
2.88	21.5443
2.89	21.5443
2.9	21.5443
2.91	21.5443
2.92	21.5443
2.93	21.5443
2.94	21.5443
2.95	21.5443
2.96	21.5443
2.97	21.5443
2.98	21.5443
2.99	21.5443
3	21.5443
3.01	21.5443
3.02	21.5443
3.03	21.5443
3.04	21.5443
3.05	21.5443
3.06	21.5443
3.07	21.5443
3.08	21.5443
3.09	21.5443
3.1	21.5443
3.11	21.5443
3.12	21.5443
3.13	21.5443
3.14	21.5443
3.15	21.5443
3.16	21.5443
3.17	21.5443
3.18	21.5443
3.19	21.5443
3.2	21.5443
3.21	21.5443
3.22	21.5443
3.23	21.5443
3.24	21.5443
3.25	21.5443
3.26	21.5443
3.27	21.5443
3.28	21.5443
3.29	21.5443
3.3	21.5443
3.31	21.5443
3.32	21.5443
3.33	21.5443
3.34	21.5443
3.35	21.5443
3.36	21.5443
3.37	21.5443
3.38	21.5443
3.39	21.5443
3.4	21.5443
3.41	21.5443
3.42	21.5443
3.43	21.5443
3.44	21.5443
3.45	21.5443
3.46	21.5443
3.47	21.5443
3.48	21.5443
3.49	21.5443
3.5	21.5443
3.51	21.5443
3.52	21.5443
3.53	21.5443
3.54	21.5443
3.55	21.5443
3.56	21.5443
3.57	21.5443
3.58	21.5443
3.59	21.5443
3.6	21.5443
3.61	21.5443
3.62	21.5443
3.63	21.5443
3.64	21.5443
3.65	21.5443
3.66	21.5443
3.67	21.5443
3.68	21.5443
3.69	21.5443
3.7	21.5443
3.71	21.5443
3.72	21.5443
3.73	21.5443
3.74	21.5443
3.75	21.5443
3.76	21.5443
3.77	21.5443
3.78	21.5443
3.79	21.5443
3.8	21.5443
3.81	21.5443
3.82	21.5443
3.83	21.5443
3.84	21.5443
3.85	21.5443
3.86	21.5443
3.87	21.5443
3.88	21.5443
3.89	21.5443
3.9	21.5443
3.91	21.5443
3.92	21.5443
3.93	21.5443
3.94	21.5443
3.95	21.5443
3.96	21.5443
3.97	21.5443
3.98	21.5443
3.99	21.5443
4	21.5443
4.01	21.5443
4.02	21.5443
4.03	21.5443
4.04	21.5443
4.05	21.5443
4.06	21.5443
4.07	21.5443
4.08	21.5443
4.09	21.5443
4.1	21.5443
4.11	21.5443
4.12	21.5443
4.13	21.5443
4.14	21.5443
4.15	21.5443
4.16	21.5443
4.17	21.5443
4.18	21.5443
4.19	21.5443
4.2	21.5443
4.21	21.5443
4.22	21.5443
4.23	21.5443
4.24	21.5443
4.25	21.5443
4.26	21.5443
4.27	21.5443
4.28	21.5443
4.29	21.5443
4.3	21.5443
4.31	21.5443
4.32	21.5443
4.33	21.5443
4.34	21.5443
4.35	21.5443
4.36	21.5443
4.37	21.5443
4.38	21.5443
4.39	21.5443
4.4	21.5443
4.41	21.5443
4.42	21.5443
4.43	21.5443
4.44	21.5443
4.45	21.5443
4.46	21.5443
4.47	21.5443
4.48	21.5443
4.49	21.5443
4.5	21.5443
4.51	21.5443
4.52	21.5443
4.53	21.5443
4.54	21.5443
4.55	21.5443
4.56	21.5443
4.57	21.5443
4.58	21.5443
4.59	21.5443
4.6	21.5443
4.61	21.5443
4.62	21.5443
4.63	21.5443
4.64	21.5443
4.65	21.5443
4.66	21.5443
4.67	21.5443
4.68	21.5443
4.69	21.5443
4.7	21.5443
4.71	21.5443
4.72	21.5443
4.73	21.5443
4.74	21.5443
4.75	21.5443
4.76	21.5443
4.77	21.5443
4.78	21.5443
4.79	21.5443
4.8	21.5443
4.81	21.5443
4.82	21.5443
4.83	21.5443
4.84	21.5443
4.85	21.5443
4.86	21.5443
4.87	21.5443
4.88	21.5443
4.89	21.5443
4.9	21.5443
4.91	21.5443
4.92	21.5443
4.93	21.5443
4.94	21.5443
4.95	21.5443
4.96	21.5443
4.97	21.5443
4.98	21.5443
4.99	21.5443
5	21.5443
5.01	21.5443
5.02	21.5443
5.03	21.5443
5.04	21.5443
5.05	21.5443
