Time	Population
0	1
0.01	1.019
0.02	1.03834
0.03	1.05803
0.04	1.07807
0.05	1.09847
0.06	1.11923
0.07	1.14037
0.08	1.16187
0.09	1.18376
0.1	1.20603
0.11	1.2287
0.12	1.25176
0.13	1.27523
0.14	1.29911
0.15	1.32341
0.16	1.34812
0.17	1.37327
0.18	1.39885
0.19	1.42487
0.2	1.45133
0.21	1.47825
0.22	1.50563
0.23	1.53348
0.24	1.5618
0.25	1.59059
0.26	1.61988
0.27	1.64965
0.28	1.67992
0.29	1.7107
0.3	1.74199
0.31	1.77379
0.32	1.80612
0.33	1.83898
0.34	1.87238
0.35	1.90632
0.36	1.94081
0.37	1.97586
0.38	2.01148
0.39	2.04766
0.4	2.08442
0.41	2.12176
0.42	2.1597
0.43	2.19823
0.44	2.23736
0.45	2.2771
0.46	2.31746
0.47	2.35843
0.48	2.40004
0.49	2.44228
0.5	2.48516
0.51	2.52869
0.52	2.57287
0.53	2.61771
0.54	2.66321
0.55	2.70938
0.56	2.75623
0.57	2.80375
0.58	2.85197
0.59	2.90087
0.6	2.95048
0.61	3.00078
0.62	3.05179
0.63	3.10351
0.64	3.15595
0.65	3.20911
0.66	3.263
0.67	3.31761
0.68	3.37295
0.69	3.42904
0.7	3.48586
0.71	3.54342
0.72	3.60174
0.73	3.6608
0.74	3.72061
0.75	3.78118
0.76	3.84251
0.77	3.9046
0.78	3.96744
0.79	4.03105
0.8	4.09542
0.81	4.16056
0.82	4.22646
0.83	4.29312
0.84	4.36056
0.85	4.42875
0.86	4.49771
0.87	4.56744
0.88	4.63793
0.89	4.70917
0.9	4.78118
0.91	4.85395
0.92	4.92746
0.93	5.00173
0.94	5.07675
0.95	5.15251
0.96	5.22901
0.97	5.30625
0.98	5.38422
0.99	5.46291
1	5.54233
1.01	5.62246
1.02	5.7033
1.03	5.78483
1.04	5.86707
1.05	5.94998
1.06	6.03358
1.07	6.11785
1.08	6.20278
1.09	6.28836
1.1	6.37458
1.11	6.46144
1.12	6.54892
1.13	6.63701
1.14	6.7257
1.15	6.81498
1.16	6.90483
1.17	6.99525
1.18	7.08622
1.19	7.17773
1.2	7.26977
1.21	7.36232
1.22	7.45536
1.23	7.54888
1.24	7.64287
1.25	7.73732
1.26	7.8322
1.27	7.9275
1.28	8.0232
1.29	8.1193
1.3	8.21576
1.31	8.31258
1.32	8.40973
1.33	8.5072
1.34	8.60497
1.35	8.70303
1.36	8.80134
1.37	8.89991
1.38	8.9987
1.39	9.09769
1.4	9.19688
1.41	9.29623
1.42	9.39574
1.43	9.49537
1.44	9.59512
1.45	9.69496
1.46	9.79486
1.47	9.89482
1.48	9.99481
1.49	10.0948
1.5	10.1948
1.51	10.2948
1.52	10.3947
1.53	10.4945
1.54	10.5943
1.55	10.6939
1.56	10.7934
1.57	10.8928
1.58	10.992
1.59	11.091
1.6	11.1898
1.61	11.2884
1.62	11.3868
1.63	11.4848
1.64	11.5826
1.65	11.6801
1.66	11.7773
1.67	11.8741
1.68	11.9706
1.69	12.0668
