Euler-Cromer Method

Time (s)	Angle (deg)		Velocity		Energy
0.000000	3.000000		0.000000		0.006722
0.010000	2.997057		-0.005137		0.006709
0.020000	2.991174		-0.010268		0.006696
0.030000	2.982356		-0.015389		0.006683
0.040000	2.970613		-0.020496		0.006670
0.050000	2.955956		-0.025582		0.006657
0.060000	2.938399		-0.030643		0.006644
0.070000	2.917959		-0.035674		0.006632
0.080000	2.894657		-0.040670		0.006620
0.090000	2.868515		-0.045626		0.006609
0.100000	2.839559		-0.050538		0.006598
0.110000	2.807818		-0.055399		0.006587
0.120000	2.773322		-0.060207		0.006577
0.130000	2.736105		-0.064955		0.006568
0.140000	2.696205		-0.069640		0.006559
0.150000	2.653659		-0.074256		0.006551
0.160000	2.608510		-0.078800		0.006543
0.170000	2.560802		-0.083266		0.006536
0.180000	2.510582		-0.087650		0.006530
0.190000	2.457899		-0.091949		0.006524
0.200000	2.402805		-0.096157		0.006520
0.210000	2.345354		-0.100271		0.006516
0.220000	2.285602		-0.104287		0.006513
0.230000	2.223608		-0.108200		0.006510
0.240000	2.159432		-0.112007		0.006509
0.250000	2.093138		-0.115705		0.006508
0.260000	2.024791		-0.119289		0.006508
0.270000	1.954457		-0.122755		0.006509
0.280000	1.882206		-0.126102		0.006511
0.290000	1.808109		-0.129324		0.006514
0.300000	1.732238		-0.132420		0.006517
0.310000	1.654667		-0.135386		0.006521
0.320000	1.575473		-0.138219		0.006526
0.330000	1.494734		-0.140917		0.006532
0.340000	1.412528		-0.143476		0.006538
0.350000	1.328937		-0.145894		0.006546
0.360000	1.244042		-0.148170		0.006553
0.370000	1.157927		-0.150300		0.006562
0.380000	1.070675		-0.152282		0.006571
0.390000	0.982374		-0.154115		0.006581
0.400000	0.893108		-0.155797		0.006591
0.410000	0.802967		-0.157327		0.006602
0.420000	0.712038		-0.158701		0.006613
0.430000	0.620410		-0.159921		0.006625
0.440000	0.528174		-0.160983		0.006636
0.450000	0.435419		-0.161887		0.006649
0.460000	0.342238		-0.162633		0.006661
0.470000	0.248720		-0.163219		0.006674
0.480000	0.154959		-0.163644		0.006687
0.490000	0.061046		-0.163910		0.006700
0.500000	-0.032928		-0.164014		0.006713
0.510000	-0.126869		-0.163958		0.006727
0.520000	-0.220685		-0.163741		0.006740
0.530000	-0.314285		-0.163363		0.006753
0.540000	-0.407577		-0.162825		0.006766
0.550000	-0.500469		-0.162127		0.006779
0.560000	-0.592870		-0.161270		0.006791
0.570000	-0.684689		-0.160255		0.006803
0.580000	-0.775836		-0.159083		0.006815
0.590000	-0.866223		-0.157754		0.006827
0.600000	-0.955760		-0.156271		0.006838
0.610000	-1.044359		-0.154635		0.006849
0.620000	-1.131933		-0.152847		0.006859
0.630000	-1.218398		-0.150909		0.006868
0.640000	-1.303667		-0.148822		0.006877
0.650000	-1.387657		-0.146590		0.006886
0.660000	-1.470285		-0.144214		0.006893
