Euler Method

Time (s)	Angle (deg)		Velocity		Energy
0.000000	3.000000		0.000000		0.006722
0.010000	3.000000		-0.005137		0.006729
0.020000	2.997057		-0.010273		0.006735
0.030000	2.991171		-0.015404		0.006742
0.040000	2.982345		-0.020526		0.006748
0.050000	2.970584		-0.025632		0.006755
0.060000	2.955898		-0.030718		0.006762
0.070000	2.938298		-0.035779		0.006768
0.080000	2.917798		-0.040810		0.006775
0.090000	2.894416		-0.045806		0.006782
0.100000	2.868171		-0.050762		0.006788
0.110000	2.839086		-0.055672		0.006795
0.120000	2.807188		-0.060533		0.006802
0.130000	2.772505		-0.065340		0.006808
0.140000	2.735068		-0.070087		0.006815
0.150000	2.694912		-0.074770		0.006822
0.160000	2.652072		-0.079384		0.006828
0.170000	2.606588		-0.083925		0.006835
0.180000	2.558503		-0.088388		0.006842
0.190000	2.507861		-0.092768		0.006848
0.200000	2.454708		-0.097062		0.006855
0.210000	2.399096		-0.101265		0.006862
0.220000	2.341076		-0.105373		0.006869
0.230000	2.280702		-0.109381		0.006875
0.240000	2.218031		-0.113286		0.006882
0.250000	2.153123		-0.117083		0.006889
0.260000	2.086039		-0.120770		0.006896
0.270000	2.016843		-0.124342		0.006902
0.280000	1.945601		-0.127795		0.006909
0.290000	1.872380		-0.131126		0.006916
0.300000	1.797250		-0.134332		0.006923
0.310000	1.720284		-0.137409		0.006930
0.320000	1.641554		-0.140354		0.006936
0.330000	1.561137		-0.143165		0.006943
0.340000	1.479109		-0.145838		0.006950
0.350000	1.395550		-0.148370		0.006957
0.360000	1.310540		-0.150760		0.006964
0.370000	1.224161		-0.153004		0.006970
0.380000	1.136497		-0.155100		0.006977
0.390000	1.047631		-0.157046		0.006984
0.400000	0.957651		-0.158839		0.006991
0.410000	0.866643		-0.160479		0.006998
0.420000	0.774695		-0.161963		0.007005
0.430000	0.681897		-0.163289		0.007012
0.440000	0.588339		-0.164457		0.007018
0.450000	0.494113		-0.165464		0.007025
0.460000	0.399309		-0.166310		0.007032
0.470000	0.304020		-0.166994		0.007039
0.480000	0.208340		-0.167514		0.007046
0.490000	0.112361		-0.167871		0.007053
0.500000	0.016178		-0.168063		0.007060
0.510000	-0.080115		-0.168091		0.007067
0.520000	-0.176424		-0.167954		0.007074
0.530000	-0.272655		-0.167652		0.007081
0.540000	-0.368712		-0.167185		0.007088
0.550000	-0.464502		-0.166554		0.007095
0.560000	-0.559930		-0.165758		0.007102
0.570000	-0.654903		-0.164800		0.007108
0.580000	-0.749326		-0.163678		0.007115
0.590000	-0.843107		-0.162395		0.007122
0.600000	-0.936152		-0.160952		0.007129
0.610000	-1.028371		-0.159349		0.007136
0.620000	-1.119671		-0.157588		0.007143
0.630000	-1.209963		-0.155671		0.007150
0.640000	-1.299156		-0.153600		0.007157
0.650000	-1.387162		-0.151375		0.007164
0.660000	-1.473893		-0.149000		0.007172
0.670000	-1.559264		-0.146477		0.007179
0.680000	-1.643189		-0.143807		0.007186
0.690000	-1.725584		-0.140993		0.007193
0.700000	-1.806368		-0.138039		0.007200
0.710000	-1.885458		-0.134946		0.007207
0.720000	-1.962776		-0.131718		0.007214
0.730000	-2.038245		-0.128357		0.007221
0.740000	-2.111789		-0.124867		0.007228
0.750000	-2.183332		-0.121252		0.007235
0.760000	-2.252804		-0.117514		0.007242
0.770000	-2.320135		-0.113656		0.007249
0.780000	-2.385255		-0.109684		0.007256
0.790000	-2.448099		-0.105600		0.007264
0.800000	-2.508604		-0.101408		0.007271
0.810000	-2.566706		-0.097113		0.007278
0.820000	-2.622348		-0.092719		0.007285
0.830000	-2.675472		-0.088229		0.007292
0.840000	-2.726023		-0.083648		0.007299
0.850000	-2.773950		-0.078980		0.007306
0.860000	-2.819202		-0.074231		0.007314
0.870000	-2.861733		-0.069404		0.007321
0.880000	-2.901499		-0.064504		0.007328
0.890000	-2.938457		-0.059536		0.007335
0.900000	-2.972569		-0.054505		0.007342
0.910000	-3.003798		-0.049416		0.007350
0.920000	-3.032111		-0.044273		0.007357
0.930000	-3.057478		-0.039081		0.007364
0.940000	-3.079870		-0.033846		0.007371
0.950000	-3.099262		-0.028573		0.007378
0.960000	-3.115633		-0.023267		0.007386
0.970000	-3.128964		-0.017932		0.007393
0.980000	-3.139238		-0.012575		0.007400
0.990000	-3.146443		-0.007200		0.007407
1.000000	-3.150568		-0.001813		0.007415
1.010000	-3.151607		0.003582		0.007422
1.020000	-3.149555		0.008978		0.007429
1.030000	-3.144411		0.014370		0.007437
1.040000	-3.136177		0.019754		0.007444
1.050000	-3.124859		0.025124		0.007451
1.060000	-3.110464		0.030474		0.007458
1.070000	-3.093004		0.035800		0.007466
1.080000	-3.072492		0.041095		0.007473
1.090000	-3.048946		0.046356		0.007480
1.100000	-3.022386		0.051576		0.007488
1.110000	-2.992835		0.056751		0.007495
1.120000	-2.960319		0.061875		0.007502
1.130000	-2.924867		0.066944		0.007510
1.140000	-2.886511		0.071952		0.007517
1.150000	-2.845286		0.076894		0.007525
1.160000	-2.801229		0.081766		0.007532
1.170000	-2.754380		0.086562		0.007539
1.180000	-2.704784		0.091278		0.007547
1.190000	-2.652486		0.095909		0.007554
1.200000	-2.597534		0.100450		0.007562
1.210000	-2.539980		0.104898		0.007569
1.220000	-2.479878		0.109247		0.007576
1.230000	-2.417285		0.113493		0.007584
1.240000	-2.352258		0.117631		0.007591
1.250000	-2.284860		0.121659		0.007599
1.260000	-2.215155		0.125571		0.007606
1.270000	-2.143208		0.129364		0.007614
1.280000	-2.069088		0.133033		0.007621
1.290000	-1.992866		0.136576		0.007629
1.300000	-1.914614		0.139988		0.007636
1.310000	-1.834407		0.143266		0.007644
1.320000	-1.752321		0.146407		0.007651
1.330000	-1.668436		0.149407		0.007659
1.340000	-1.582832		0.152264		0.007666
1.350000	-1.495592		0.154974		0.007674
1.360000	-1.406798		0.157535		0.007681
1.370000	-1.316538		0.159943		0.007689
1.380000	-1.224897		0.162197		0.007696
1.390000	-1.131965		0.164295		0.007704
1.400000	-1.037831		0.166233		0.007711
1.410000	-0.942586		0.168010		0.007719
1.420000	-0.846324		0.169623		0.007726
1.430000	-0.749137		0.171073		0.007734
1.440000	-0.651120		0.172355		0.007742
1.450000	-0.552367		0.173470		0.007749
1.460000	-0.452976		0.174416		0.007757
1.470000	-0.353043		0.175191		0.007764
1.480000	-0.252666		0.175796		0.007772
1.490000	-0.151943		0.176228		0.007780
1.500000	-0.050971		0.176489		0.007787
1.510000	0.050149		0.176576		0.007795
1.520000	0.151320		0.176490		0.007803
1.530000	0.252441		0.176231		0.007810
1.540000	0.353414		0.175799		0.007818
1.550000	0.454139		0.175194		0.007826
1.560000	0.554518		0.174416		0.007833
1.570000	0.654451		0.173467		0.007841
1.580000	0.753840		0.172346		0.007849
1.590000	0.852587		0.171055		0.007856
1.600000	0.950594		0.169596		0.007864
1.610000	1.047765		0.167968		0.007872
1.620000	1.144004		0.166174		0.007880
1.630000	1.239215		0.164215		0.007887
1.640000	1.333303		0.162094		0.007895
1.650000	1.426176		0.159811		0.007903
1.660000	1.517741		0.157369		0.007910
1.670000	1.607906		0.154770		0.007918
1.680000	1.696583		0.152017		0.007926
1.690000	1.783683		0.149112		0.007934
1.700000	1.869118		0.146058		0.007942
1.710000	1.952803		0.142858		0.007949
1.720000	2.034655		0.139515		0.007957
1.730000	2.114591		0.136031		0.007965
1.740000	2.192531		0.132410		0.007973
1.750000	2.268396		0.128656		0.007981
1.760000	2.342111		0.124773		0.007988
1.770000	2.413601		0.120763		0.007996
1.780000	2.482792		0.116630		0.008004
1.790000	2.549617		0.112379		0.008012
1.800000	2.614005		0.108014		0.008020
1.810000	2.675892		0.103538		0.008028
1.820000	2.735215		0.098957		0.008036
1.830000	2.791913		0.094273		0.008043
1.840000	2.845928		0.089493		0.008051
1.850000	2.897204		0.084620		0.008059
1.860000	2.945688		0.079660		0.008067
1.870000	2.991329		0.074616		0.008075
1.880000	3.034081		0.069495		0.008083
1.890000	3.073899		0.064300		0.008091
1.900000	3.110740		0.059037		0.008099
1.910000	3.144566		0.053711		0.008107
1.920000	3.175340		0.048327		0.008115
1.930000	3.203029		0.042890		0.008123
1.940000	3.227603		0.037406		0.008131
1.950000	3.249035		0.031880		0.008139
1.960000	3.267301		0.026317		0.008147
1.970000	3.282379		0.020723		0.008155
1.980000	3.294252		0.015103		0.008163
1.990000	3.302906		0.009462		0.008171
2.000000	3.308327		0.003807		0.008179
2.010000	3.310509		-0.001857		0.008187
2.020000	3.309444		-0.007525		0.008195
2.030000	3.305133		-0.013192		0.008203
2.040000	3.297574		-0.018851		0.008211
2.050000	3.286774		-0.024497		0.008219
2.060000	3.272738		-0.030124		0.008227
2.070000	3.255478		-0.035728		0.008235
2.080000	3.235008		-0.041302		0.008243
2.090000	3.211344		-0.046840		0.008251
2.100000	3.184506		-0.052339		0.008259
2.110000	3.154519		-0.057791		0.008267
2.120000	3.121407		-0.063192		0.008276
2.130000	3.085200		-0.068537		0.008284
2.140000	3.045932		-0.073819		0.008292
2.150000	3.003636		-0.079034		0.008300
2.160000	2.958353		-0.084177		0.008308
2.170000	2.910123		-0.089242		0.008316
2.180000	2.858991		-0.094225		0.008324
2.190000	2.805005		-0.099120		0.008333
2.200000	2.748213		-0.103922		0.008341
2.210000	2.688670		-0.108628		0.008349
2.220000	2.626431		-0.113231		0.008357
2.230000	2.561554		-0.117728		0.008365
2.240000	2.494101		-0.122114		0.008373
2.250000	2.424135		-0.126384		0.008382
2.260000	2.351722		-0.130535		0.008390
2.270000	2.276931		-0.134561		0.008398
2.280000	2.199833		-0.138460		0.008406
2.290000	2.120501		-0.142226		0.008415
2.300000	2.039012		-0.145857		0.008423
2.310000	1.955442		-0.149348		0.008431
2.320000	1.869872		-0.152696		0.008439
2.330000	1.782383		-0.155898		0.008448
2.340000	1.693060		-0.158949		0.008456
2.350000	1.601989		-0.161848		0.008464
2.360000	1.509257		-0.164591		0.008473
2.370000	1.414953		-0.167175		0.008481
2.380000	1.319169		-0.169598		0.008489
2.390000	1.221996		-0.171856		0.008498
2.400000	1.123530		-0.173949		0.008506
2.410000	1.023865		-0.175872		0.008514
2.420000	0.923097		-0.177625		0.008523
2.430000	0.821325		-0.179206		0.008531
2.440000	0.718648		-0.180612		0.008539
2.450000	0.615165		-0.181843		0.008548
2.460000	0.510977		-0.182896		0.008556
2.470000	0.406185		-0.183771		0.008565
2.480000	0.300892		-0.184466		0.008573
2.490000	0.195201		-0.184981		0.008581
2.500000	0.089214		-0.185316		0.008590
2.510000	-0.016964		-0.185468		0.008598
2.520000	-0.123230		-0.185439		0.008607
