Step	R^2
0	0
1	2
2	4.016
3	6.112
4	7.888
5	10.12
6	12.164
7	14.456
8	16.948
9	18.72
10	21.292
11	23.584
12	25.64
13	28.032
14	30.528
15	33.4
16	35.932
17	38.288
18	40.316
19	42.912
20	45.08
21	48.12
22	50.656
23	52.896
24	55.744
25	58.616
26	61.576
27	64.656
28	68.096
29	70.912
30	73.456
31	75.672
32	79.024
33	83.456
34	86.264
35	88.616
36	91.94
37	93.44
38	96.648
39	100.088
40	104.284
41	106.792
42	108.616
43	111.552
44	114.76
45	118.168
46	120.112
47	123.28
48	125.98
49	128.24
50	131.272
51	133.896
52	136.7
53	140.032
54	143.052
55	146.968
56	149.88
57	154.56
58	157.368
59	161.88
60	165.892
61	169.352
62	173.176
63	176.568
64	180.356
65	184.616
66	190.06
67	193.568
68	197.936
69	201.832
70	205.804
71	208.568
72	209.604
73	215.04
74	218.272
75	222.136
76	226.072
77	230.616
78	235.176
79	240.696
80	244.972
81	249.928
82	254.232
83	259.736
84	265.048
85	268.312
86	273.68
87	278.936
88	280.94
89	285.24
90	290.1
91	294.232
92	299.884
93	303.096
94	308.244
95	312.712
96	316.936
97	322.136
98	325.332
99	329.56
100	335.284
101	339.824
102	343.036
103	347.88
104	353.396
105	357.728
106	361.96
107	365.456
108	369.888
109	375.808
110	380.256
111	383.624
112	387.26
113	391.928
114	396.288
115	400.704
116	405.648
117	412.888
118	418.408
119	422.328
120	428.596
121	434.8
122	440.764
123	444.224
124	450.448
125	455.648
126	460.568
127	467.984
128	472.348
129	477.4
130	483.828
131	487.8
132	495.416
133	500.792
134	507.764
135	513.928
136	521.36
137	527.064
138	534.432
139	538.856
140	546.348
141	552.544
142	557.816
143	564.664
144	573.58
145	581.712
146	587.508
147	592.688
148	599.224
149	604.4
150	608.732
151	616.008
152	620.46
153	628.976
154	636.516
155	639.912
156	644.292
157	651.592
158	656.872
159	661.872
160	665.792
161	669.696
162	675.616
163	684.664
164	691.284
165	699.368
166	706.28
167	712.664
168	718.672
169	723.904
170	731.96
171	739
172	746.864
173	754.28
174	761.872
175	768.488
176	776.964
177	784.248
178	791.716
179	799.472
180	808.08
181	815.696
182	825.972
183	831.592
184	842.692
185	846.768
186	856.396
187	864.384
188	872.668
189	878.76
190	885.864
191	893.12
192	896.796
193	907.256
194	918.008
195	926.888
196	932.148
197	939.504
198	946.652
199	951.288
200	960.388
201	964.44
202	971.596
203	979.904
204	987.416
205	996.848
206	1003.17
207	1010.26
208	1023.32
209	1031.71
210	1040.12
211	1047.8
212	1053.66
213	1061.27
214	1070.72
215	1078.16
216	1086.41
217	1097.01
218	1104.64
219	1114.81
220	1121.39
221	1128.5
222	1133.18
223	1142.14
224	1151.96
225	1161.66
226	1171.8
227	1178.67
228	1186.62
229	1195.08
230	1200.58
231	1209.02
232	1218.96
233	1232.66
234	1242.01
235	1246.19
236	1256.01
237	1267.53
238	1279.59
239	1288.22
240	1295.6
241	1307.96
242	1319.26
243	1323.53
244	1330.46
245	1340.78
246	1351.48
247	1358.64
248	1368.55
249	1381.34
250	1392.54
251	1400.42
252	1406.71
253	1416.62
254	1425.04
255	1434.68
256	1446.45
257	1456
258	1460.78
259	1469.02
260	1479.68
261	1486.79
262	1496.52
263	1505.22
264	1515.48
265	1522.96
266	1532.34
267	1542.46
268	1552.45
269	1562.17
270	1573
271	1580.15
272	1592.87
273	1602.79
274	1610.18
275	1615.22
276	1625.94
277	1633.5
278	1647.52
279	1655.7
280	1666.6
281	1675.79
282	1687.48
283	1697.75
284	1710.1
285	1720.1
286	1726.56
287	1735.37
288	1745.03
289	1750.56
290	1761.36
291	1770
292	1775.9
293	1786.89
294	1792.41
295	1805.35
296	1813.14
297	1823.21
298	1833.01
299	1840.69
300	1855.7
301	1865.24
302	1873.69
303	1881.42
304	1889
305	1890.34
306	1899.31
307	1913.86
308	1923.97
309	1932.32
310	1941.52
311	1950.11
312	1957.63
313	1968.02
314	1978.69
315	1987.52
316	1995.28
317	2011.3
318	2024.94
319	2039.2
320	2052.98
321	2066.7
322	2075.26
323	2081.48
324	2090.81
325	2102.83
326	2114.62
327	2125.73
328	2133.06
329	2142.58
330	2151.84
331	2158.87
332	2169.14
333	2180.55
334	2185.64
335	2199.42
336	2206.82
337	2218.95
338	2228.58
339	2239.05
340	2249.6
341	2260
342	2278.16
343	2287.72
344	2302.19
345	2318.04
346	2329.26
347	2339.51
348	2351.06
349	2362.08
350	2369.14
351	2380.7
352	2396.59
353	2409.89
354	2419.32
355	2432.6
356	2449.49
357	2467.76
358	2480.1
359	2494.25
360	2513.07
361	2525.5
362	2535.2
363	2542.64
364	2557.52
365	2576.19
366	2586.36
367	2600.41
368	2614.4
369	2630.69
370	2643.49
371	2657.89
372	2672.34
373	2685.65
374	2696.92
375	2711.4
376	2726.05
377	2741.81
378	2751.6
379	2766.99
380	2775.92
381	2791.9
382	2809.5
383	2821.83
384	2832.85
385	2849.46
386	2861.02
387	2878.98
388	2894.24
389	2906.29
390	2915.46
391	2927.23
392	2939.62
393	2950.16
394	2963.01
395	2981.14
396	2995.96
397	3007.7
398	3023.02
399	3037.12
400	3057.2
401	3073.06
402	3088.84
403	3105.89
404	3123
405	3139.82
406	3146.47
407	3156.96
408	3163.12
409	3171.67
410	3184.91
411	3201.9
412	3212.12
413	3229.89
414	3239.87
415	3256.6
416	3269.94
417	3287.38
418	3304.09
419	3321.87
420	3342.91
421	3349.76
422	3359.63
423	3375.3
424	3388.88
425	3403.3
426	3416.74
427	3430.09
428	3439.78
429	3447.7
430	3460.26
431	3469.03
432	3489.08
433	3504.78
434	3524.85
435	3540.85
436	3555.16
437	3568.66
438	3585.8
439	3597.78
440	3609.23
441	3621.6
442	3637.71
443	3653.83
444	3671.26
445	3685.41
446	3702.86
447	3725.46
448	3742.62
449	3754.55
450	3777.2
451	3794.1
452	3808.84
453	3826.1
454	3840.47
455	3858.19
456	3873.42
457	3880.98
458	3896.71
459	3904.7
460	3922.03
461	3932.66
462	3950.15
463	3964.3
464	3978.9
465	3997.81
466	4013.46
467	4025.46
468	4038.68
469	4053.5
470	4065.36
471	4082.21
472	4102.3
473	4122.38
474	4135.89
475	4158.71
476	4168.41
477	4181.51
478	4197.2
479	4218.74
480	4231.18
481	4244.16
482	4259.38
483	4275.42
484	4287.24
485	4304.07
486	4315.14
487	4325.56
488	4331.63
489	4352.86
490	4373.63
491	4385.62
492	4406.34
493	4422.82
494	4441.25
495	4458.62
496	4474.92
497	4490.83
498	4504.02
499	4520.12
500	4536.67
501	4549.96
502	4559.26
503	4581.16
504	4601.44
505	4612.02
506	4625.04
507	4638.65
508	4653.84
509	4665.51
510	4680.7
511	4698.73
512	4716.1
513	4734.53
514	4745.13
515	4767.9
516	4789.17
517	4810.08
518	4835.55
519	4844.23
520	4855.84
521	4878.78
522	4889.94
523	4899.97
524	4918.32
525	4937.9
526	4951.03
527	4968.55
528	4983.08
529	4995.93
530	5007.7
531	5023.94
532	5040.2
533	5051.99
534	5067.32
535	5091.25
536	5107.3
537	5123.24
538	5140.85
539	5154.42
540	5170.04
541	5186.08
542	5209.57
543	5225.85
544	5233.37
545	5255.12
546	5275.14
547	5285.5
548	5308.34
549	5320.38
550	5349.46
551	5365.37
552	5382.21
553	5403.4
554	5421.56
555	5442.14
556	5460.28
557	5472.87
558	5497.52
559	5512.45
560	5526.08
561	5543.59
562	5560.43
563	5580.02
564	5596.13
565	5613.73
566	5633.46
567	5658.34
568	5686.56
569	5708.31
570	5728.53
571	5745.15
572	5762.06
573	5776.12
574	5787.85
575	5798.11
576	5816.28
577	5837.19
578	5859.3
579	5880.68
580	5898.85
581	5924.75
582	5941.49
583	5959.9
584	5978.2
585	5996.21
586	6013.25
587	6035.69
588	6046.46
589	6059.22
590	6075.85
591	6093.7
592	6107.91
593	6119.14
594	6137.75
595	6156.71
596	6174.12
597	6191.12
598	6209.67
599	6227.75
600	6255
601	6269.86
602	6286
603	6305.82
604	6323.6
605	6329.89
606	6358.45
607	6379.86
608	6398.52
609	6422.16
610	6448.25
611	6460.14
612	6488.95
613	6512.98
614	6536.9
615	6555.96
616	6577.1
617	6596.66
618	6613.02
619	6638.16
620	6661.44
621	6683.91
622	6706.56
623	6722.87
624	6754.97
625	6774.18
626	6792.09
627	6807.55
628	6824.69
629	6836.2
630	6853.84
631	6861.45
632	6877.96
633	6901.2
634	6926.55
635	6947.06
636	6980.79
637	7005.66
638	7030.63
639	7051.41
640	7073
641	7086.51
642	7095.98
643	7118.86
644	7127.48
645	7139.53
646	7150.1
647	7177.52
648	7193.86
649	7214.34
650	7223.96
651	7240.55
652	7263.94
653	7285.79
654	7307.1
655	7330.35
656	7343.73
657	7364.38
658	7375.77
659	7394.2
660	7420.9
661	7447.9
662	7468.22
663	7483.86
664	7499.52
665	7515.59
666	7550.76
667	7569.55
668	7588.89
669	7606.77
670	7626.83
671	7642.9
672	7667.79
673	7691.89
674	7702.82
675	7716.92
676	7749.42
677	7765.23
678	7787.46
679	7813.39
680	7832.57
681	7853.81
682	7871.3
683	7894.08
684	7910.66
685	7936.7
686	7946.68
687	7958.63
688	7980.28
689	8003.87
690	8021.32
691	8061.79
692	8077.46
693	8094.94
694	8116.3
695	8136.17
696	8166.85
697	8193.59
698	8210.03
699	8229.17
700	8255.22
701	8277.38
702	8301.87
703	8322.19
704	8337.02
705	8365.46
706	8394.24
707	8406.62
708	8425.4
709	8452.66
710	8466.52
711	8493.69
712	8522.1
713	8552.18
714	8584.38
715	8602.07
716	8621.06
717	8642.29
718	8665.9
719	8688.31
720	8705.22
721	8722.25
722	8742.2
723	8768.6
724	8774.32
725	8787.75
726	8816.9
727	8841.51
728	8861.39
729	8885.46
730	8910.24
731	8933.13
732	8957.44
733	8979.52
734	8999.93
735	9032.22
736	9058.87
737	9076.54
738	9101.64
739	9126.93
740	9146.36
741	9166.74
742	9185.99
743	9209.86
744	9233.82
745	9256.14
746	9288.52
747	9312.03
748	9335.54
749	9362.5
750	9387.86
751	9417.5
752	9431.05
753	9456.74
754	9482.31
755	9512.42
756	9540
757	9563.1
758	9584.8
759	9604.22
760	9627.76
761	9648.87
762	9672.84
763	9700.06
764	9730
765	9752.98
766	9782.82
767	9809.95
768	9826.2
769	9846.74
770	9863.52
771	9893.58
