Radius (AU)	X position (AU)	Y position (AU)	Time (Yr)
1.0167000	1.0167000	0.00000000	0.00000000
1.0167000	1.0166996	0.00062831853	0.00010000000
1.0167000	1.0166989	0.0012566368	0.00020000000
1.0167000	1.0166977	0.0018849546	0.00030000000
1.0166999	1.0166962	0.0025132718	0.00040000000
1.0166999	1.0166943	0.0031415879	0.00050000000
1.0166999	1.0166920	0.0037699029	0.00060000000
1.0166998	1.0166893	0.0043982165	0.00070000000
1.0166998	1.0166863	0.0050265284	0.00080000000
1.0166997	1.0166828	0.0056548385	0.00090000000
1.0166997	1.0166790	0.0062831464	0.0010000000
1.0166996	1.0166748	0.0069114519	0.0011000000
1.0166995	1.0166702	0.0075397549	0.0012000000
1.0166994	1.0166652	0.0081680550	0.0013000000
1.0166993	1.0166599	0.0087963520	0.0014000000
1.0166992	1.0166542	0.0094246458	0.0015000000
1.0166991	1.0166481	0.010052936	0.0016000000
1.0166990	1.0166416	0.010681222	0.0017000000
1.0166989	1.0166347	0.011309505	0.0018000000
1.0166988	1.0166274	0.011937783	0.0019000000
1.0166986	1.0166198	0.012566057	0.0020000000
1.0166985	1.0166118	0.013194326	0.0021000000
1.0166984	1.0166034	0.013822590	0.0022000000
1.0166982	1.0165946	0.014450848	0.0023000000
1.0166980	1.0165854	0.015079102	0.0024000000
1.0166979	1.0165759	0.015707350	0.0025000000
1.0166977	1.0165659	0.016335591	0.0026000000
1.0166975	1.0165556	0.016963827	0.0027000000
1.0166973	1.0165449	0.017592056	0.0028000000
1.0166971	1.0165339	0.018220279	0.0029000000
1.0166969	1.0165224	0.018848495	0.0030000000
1.0166967	1.0165106	0.019476704	0.0031000000
1.0166965	1.0164984	0.020104905	0.0032000000
1.0166963	1.0164857	0.020733099	0.0033000000
1.0166961	1.0164728	0.021361285	0.0034000000
1.0166958	1.0164594	0.021989463	0.0035000000
1.0166956	1.0164457	0.022617633	0.0036000000
1.0166953	1.0164315	0.023245795	0.0037000000
1.0166951	1.0164170	0.023873947	0.0038000000
1.0166948	1.0164021	0.024502091	0.0039000000
1.0166945	1.0163868	0.025130225	0.0040000000
1.0166943	1.0163712	0.025758350	0.0041000000
1.0166940	1.0163551	0.026386466	0.0042000000
1.0166937	1.0163387	0.027014571	0.0043000000
1.0166934	1.0163219	0.027642666	0.0044000000
1.0166931	1.0163047	0.028270751	0.0045000000
1.0166928	1.0162872	0.028898825	0.0046000000
1.0166925	1.0162692	0.029526889	0.0047000000
1.0166921	1.0162509	0.030154941	0.0048000000
1.0166918	1.0162322	0.030782982	0.0049000000
1.0166915	1.0162131	0.031411011	0.0050000000
1.0166911	1.0161936	0.032039029	0.0051000000
1.0166908	1.0161738	0.032667035	0.0052000000
1.0166904	1.0161535	0.033295028	0.0053000000
1.0166901	1.0161329	0.033923009	0.0054000000
1.0166897	1.0161119	0.034550977	0.0055000000
1.0166893	1.0160905	0.035178932	0.0056000000
1.0166889	1.0160687	0.035806874	0.0057000000
1.0166885	1.0160466	0.036434802	0.0058000000
1.0166881	1.0160241	0.037062717	0.0059000000
1.0166877	1.0160012	0.037690618	0.0060000000
1.0166873	1.0159779	0.038318504	0.0061000000
1.0166869	1.0159542	0.038946377	0.0062000000
1.0166865	1.0159301	0.039574234	0.0063000000
1.0166860	1.0159057	0.040202077	0.0064000000
1.0166856	1.0158809	0.040829905	0.0065000000
1.0166852	1.0158557	0.041457717	0.0066000000
1.0166847	1.0158301	0.042085514	0.0067000000
1.0166842	1.0158041	0.042713295	0.0068000000
1.0166838	1.0157778	0.043341059	0.0069000000
1.0166833	1.0157511	0.043968808	0.0070000000
1.0166828	1.0157240	0.044596540	0.0071000000
1.0166823	1.0156965	0.045224255	0.0072000000
1.0166818	1.0156686	0.045851954	0.0073000000
1.0166813	1.0156403	0.046479635	0.0074000000
1.0166808	1.0156117	0.047107299	0.0075000000
1.0166803	1.0155827	0.047734945	0.0076000000
1.0166798	1.0155533	0.048362573	0.0077000000
1.0166793	1.0155235	0.048990182	0.0078000000
1.0166787	1.0154934	0.049617774	0.0079000000
1.0166782	1.0154628	0.050245347	0.0080000000
1.0166776	1.0154319	0.050872901	0.0081000000
1.0166771	1.0154006	0.051500435	0.0082000000
1.0166765	1.0153689	0.052127951	0.0083000000
1.0166760	1.0153368	0.052755447	0.0084000000
1.0166754	1.0153044	0.053382923	0.0085000000
1.0166748	1.0152715	0.054010379	0.0086000000
1.0166742	1.0152383	0.054637815	0.0087000000
1.0166736	1.0152047	0.055265230	0.0088000000
1.0166730	1.0151708	0.055892624	0.0089000000
1.0166724	1.0151364	0.056519998	0.0090000000
1.0166718	1.0151017	0.057147350	0.0091000000
1.0166712	1.0150666	0.057774681	0.0092000000
1.0166705	1.0150311	0.058401990	0.0093000000
1.0166699	1.0149952	0.059029277	0.0094000000
1.0166692	1.0149589	0.059656542	0.0095000000
1.0166686	1.0149223	0.060283784	0.0096000000
1.0166679	1.0148852	0.060911004	0.0097000000
1.0166673	1.0148478	0.061538201	0.0098000000
1.0166666	1.0148100	0.062165375	0.0099000000
1.0166659	1.0147719	0.062792525	0.010000000
1.0166652	1.0147333	0.063419652	0.010100000
1.0166646	1.0146944	0.064046755	0.010200000
1.0166639	1.0146551	0.064673834	0.010300000
1.0166631	1.0146154	0.065300889	0.010400000
1.0166624	1.0145753	0.065927919	0.010500000
1.0166617	1.0145349	0.066554925	0.010600000
1.0166610	1.0144940	0.067181905	0.010700000
1.0166603	1.0144528	0.067808860	0.010800000
1.0166595	1.0144112	0.068435790	0.010900000
1.0166588	1.0143692	0.069062694	0.011000000
1.0166580	1.0143268	0.069689572	0.011100000
1.0166573	1.0142841	0.070316424	0.011200000
1.0166565	1.0142410	0.070943249	0.011300000
1.0166557	1.0141975	0.071570048	0.011400000
1.0166549	1.0141536	0.072196820	0.011500000
1.0166542	1.0141093	0.072823565	0.011600000
1.0166534	1.0140647	0.073450282	0.011700000
1.0166526	1.0140196	0.074076972	0.011800000
1.0166518	1.0139742	0.074703634	0.011900000
1.0166509	1.0139284	0.075330268	0.012000000
1.0166501	1.0138823	0.075956874	0.012100000
1.0166493	1.0138357	0.076583451	0.012200000
1.0166485	1.0137888	0.077209999	0.012300000
1.0166476	1.0137415	0.077836518	0.012400000
1.0166468	1.0136938	0.078463008	0.012500000
1.0166459	1.0136457	0.079089469	0.012600000
1.0166451	1.0135972	0.079715900	0.012700000
1.0166442	1.0135484	0.080342301	0.012800000
1.0166433	1.0134992	0.080968672	0.012900000
1.0166424	1.0134496	0.081595012	0.013000000
1.0166415	1.0133996	0.082221322	0.013100000
1.0166406	1.0133492	0.082847600	0.013200000
1.0166397	1.0132985	0.083473848	0.013300000
1.0166388	1.0132474	0.084100064	0.013400000
1.0166379	1.0131959	0.084726249	0.013500000
1.0166370	1.0131440	0.085352402	0.013600000
1.0166361	1.0130917	0.085978523	0.013700000
1.0166351	1.0130391	0.086604611	0.013800000
1.0166342	1.0129860	0.087230667	0.013900000
1.0166332	1.0129326	0.087856690	0.014000000
1.0166323	1.0128788	0.088482680	0.014100000
1.0166313	1.0128247	0.089108637	0.014200000
1.0166304	1.0127701	0.089734561	0.014300000
1.0166294	1.0127152	0.090360450	0.014400000
1.0166284	1.0126599	0.090986306	0.014500000
1.0166274	1.0126042	0.091612128	0.014600000
1.0166264	1.0125481	0.092237915	0.014700000
1.0166254	1.0124917	0.092863667	0.014800000
1.0166244	1.0124349	0.093489385	0.014900000
1.0166234	1.0123776	0.094115067	0.015000000
1.0166223	1.0123200	0.094740714	0.015100000
1.0166213	1.0122621	0.095366326	0.015200000
