Radius (AU)	X position (AU)	Y position (AU)	Time (Yr)
0.72814611	0.72814611	0.00000000	0.00000000
0.72814611	0.72814537	0.00074644241	0.00010000000
0.72814611	0.72814388	0.0014928841	0.00020000000
0.72814610	0.72814164	0.0022393242	0.00030000000
0.72814609	0.72813866	0.0029857620	0.00040000000
0.72814609	0.72813494	0.0037321968	0.00050000000
0.72814608	0.72813047	0.0044786278	0.00060000000
0.72814606	0.72812526	0.0052250542	0.00070000000
0.72814605	0.72811930	0.0059714752	0.00080000000
0.72814603	0.72811260	0.0067178901	0.00090000000
0.72814601	0.72810516	0.0074642982	0.0010000000
0.72814599	0.72809697	0.0082106986	0.0011000000
0.72814597	0.72808803	0.0089570907	0.0012000000
0.72814595	0.72807835	0.0097034735	0.0013000000
0.72814592	0.72806793	0.010449847	0.0014000000
0.72814589	0.72805676	0.011196209	0.0015000000
0.72814586	0.72804485	0.011942560	0.0016000000
0.72814583	0.72803219	0.012688898	0.0017000000
0.72814580	0.72801879	0.013435224	0.0018000000
0.72814576	0.72800464	0.014181536	0.0019000000
0.72814572	0.72798975	0.014927833	0.0020000000
0.72814568	0.72797411	0.015674115	0.0021000000
0.72814564	0.72795773	0.016420381	0.0022000000
0.72814560	0.72794061	0.017166631	0.0023000000
0.72814555	0.72792274	0.017912862	0.0024000000
0.72814550	0.72790413	0.018659076	0.0025000000
0.72814545	0.72788477	0.019405270	0.0026000000
0.72814540	0.72786467	0.020151445	0.0027000000
0.72814535	0.72784382	0.020897599	0.0028000000
0.72814529	0.72782223	0.021643731	0.0029000000
0.72814524	0.72779990	0.022389842	0.0030000000
0.72814518	0.72777682	0.023135929	0.0031000000
0.72814512	0.72775300	0.023881993	0.0032000000
0.72814505	0.72772843	0.024628032	0.0033000000
0.72814499	0.72770312	0.025374047	0.0034000000
0.72814492	0.72767706	0.026120035	0.0035000000
0.72814485	0.72765026	0.026865996	0.0036000000
0.72814478	0.72762272	0.027611930	0.0037000000
0.72814471	0.72759443	0.028357836	0.0038000000
0.72814464	0.72756540	0.029103713	0.0039000000
0.72814456	0.72753562	0.029849560	0.0040000000
0.72814448	0.72750510	0.030595377	0.0041000000
0.72814440	0.72747384	0.031341162	0.0042000000
0.72814432	0.72744183	0.032086915	0.0043000000
0.72814423	0.72740908	0.032832636	0.0044000000
0.72814415	0.72737558	0.033578323	0.0045000000
0.72814406	0.72734135	0.034323975	0.0046000000
0.72814397	0.72730636	0.035069593	0.0047000000
0.72814388	0.72727064	0.035815174	0.0048000000
0.72814378	0.72723416	0.036560719	0.0049000000
0.72814369	0.72719695	0.037306227	0.0050000000
0.72814359	0.72715899	0.038051696	0.0051000000
0.72814349	0.72712029	0.038797127	0.0052000000
0.72814339	0.72708085	0.039542517	0.0053000000
0.72814328	0.72704066	0.040287868	0.0054000000
0.72814318	0.72699973	0.041033177	0.0055000000
0.72814307	0.72695805	0.041778444	0.0056000000
0.72814296	0.72691563	0.042523669	0.0057000000
0.72814285	0.72687247	0.043268850	0.0058000000
0.72814274	0.72682856	0.044013987	0.0059000000
0.72814262	0.72678391	0.044759078	0.0060000000
0.72814250	0.72673852	0.045504124	0.0061000000
0.72814238	0.72669239	0.046249124	0.0062000000
0.72814226	0.72664551	0.046994076	0.0063000000
0.72814214	0.72659789	0.047738980	0.0064000000
0.72814201	0.72654952	0.048483835	0.0065000000
0.72814189	0.72650042	0.049228641	0.0066000000
0.72814176	0.72645057	0.049973396	0.0067000000
0.72814163	0.72639997	0.050718101	0.0068000000
0.72814150	0.72634864	0.051462753	0.0069000000
0.72814136	0.72629656	0.052207353	0.0070000000
0.72814122	0.72624374	0.052951899	0.0071000000
0.72814109	0.72619017	0.053696391	0.0072000000
0.72814094	0.72613586	0.054440829	0.0073000000
0.72814080	0.72608082	0.055185210	0.0074000000
0.72814066	0.72602502	0.055929535	0.0075000000
0.72814051	0.72596849	0.056673804	0.0076000000
0.72814036	0.72591121	0.057418014	0.0077000000
0.72814021	0.72585319	0.058162165	0.0078000000
0.72814006	0.72579443	0.058906257	0.0079000000
0.72813991	0.72573493	0.059650288	0.0080000000
0.72813975	0.72567468	0.060394259	0.0081000000
0.72813959	0.72561370	0.061138168	0.0082000000
0.72813943	0.72555197	0.061882014	0.0083000000
0.72813927	0.72548949	0.062625797	0.0084000000
0.72813911	0.72542628	0.063369516	0.0085000000
0.72813894	0.72536232	0.064113171	0.0086000000
0.72813877	0.72529763	0.064856759	0.0087000000
0.72813860	0.72523219	0.065600282	0.0088000000
0.72813843	0.72516601	0.066343737	0.0089000000
0.72813826	0.72509909	0.067087124	0.0090000000
0.72813808	0.72503142	0.067830443	0.0091000000
0.72813791	0.72496302	0.068573692	0.0092000000
0.72813773	0.72489387	0.069316872	0.0093000000
0.72813755	0.72482398	0.070059980	0.0094000000
0.72813736	0.72475335	0.070803017	0.0095000000
0.72813718	0.72468198	0.071545981	0.0096000000
0.72813699	0.72460987	0.072288872	0.0097000000
0.72813680	0.72453702	0.073031690	0.0098000000
0.72813661	0.72446343	0.073774432	0.0099000000
0.72813642	0.72438909	0.074517099	0.010000000
0.72813622	0.72431402	0.075259690	0.010100000
0.72813603	0.72423820	0.076002204	0.010200000
0.72813583	0.72416165	0.076744641	0.010300000
0.72813563	0.72408435	0.077486998	0.010400000
0.72813543	0.72400631	0.078229277	0.010500000
0.72813522	0.72392753	0.078971475	0.010600000
0.72813501	0.72384802	0.079713593	0.010700000
0.72813481	0.72376776	0.080455629	0.010800000
0.72813460	0.72368676	0.081197583	0.010900000
0.72813438	0.72360502	0.081939454	0.011000000
0.72813417	0.72352254	0.082681241	0.011100000
0.72813395	0.72343932	0.083422944	0.011200000
0.72813374	0.72335537	0.084164561	0.011300000
0.72813352	0.72327067	0.084906093	0.011400000
0.72813329	0.72318523	0.085647537	0.011500000
0.72813307	0.72309905	0.086388894	0.011600000
0.72813284	0.72301214	0.087130162	0.011700000
0.72813262	0.72292448	0.087871341	0.011800000
0.72813239	0.72283608	0.088612431	0.011900000
0.72813216	0.72274695	0.089353430	0.012000000
0.72813192	0.72265708	0.090094337	0.012100000
0.72813169	0.72256646	0.090835153	0.012200000
0.72813145	0.72247511	0.091575875	0.012300000
0.72813121	0.72238302	0.092316504	0.012400000
0.72813097	0.72229019	0.093057038	0.012500000
0.72813073	0.72219662	0.093797478	0.012600000
0.72813048	0.72210232	0.094537821	0.012700000
0.72813023	0.72200727	0.095278067	0.012800000
0.72812999	0.72191149	0.096018217	0.012900000
0.72812974	0.72181497	0.096758268	0.013000000
0.72812948	0.72171771	0.097498220	0.013100000
0.72812923	0.72161971	0.098238072	0.013200000
0.72812897	0.72152098	0.098977824	0.013300000
0.72812871	0.72142150	0.099717474	0.013400000
0.72812845	0.72132129	0.10045702	0.013500000
0.72812819	0.72122034	0.10119647	0.013600000
0.72812793	0.72111865	0.10193581	0.013700000
0.72812766	0.72101623	0.10267505	0.013800000
0.72812739	0.72091307	0.10341418	0.013900000
0.72812712	0.72080917	0.10415321	0.014000000
0.72812685	0.72070453	0.10489213	0.014100000
